ASL_RICHIEDENTE,DATA_ARRIVO,IN_CORSO,ESAMINATI,TOTALE,AGGIORNAMENTO
CH,2020-05-18,0,76,76,2021-02-14
CH,2020-05-19,0,153,153,2021-02-14
CH,2020-05-20,0,79,79,2021-02-14
CH,2020-05-21,0,220,220,2021-02-14
CH,2020-05-22,0,136,136,2021-02-14
CH,2020-05-23,0,200,200,2021-02-14
CH,2020-05-24,0,200,200,2021-02-14
CH,2020-05-25,0,80,80,2021-02-14
CH,2020-05-26,0,398,398,2021-02-14
CH,2020-05-27,0,130,130,2021-02-14
CH,2020-05-28,0,405,405,2021-02-14
CH,2020-05-29,0,118,118,2021-02-14
CH,2020-05-30,0,277,277,2021-02-14
CH,2020-05-31,0,304,304,2021-02-14
CH,2020-06-01,0,238,238,2021-02-14
CH,2020-06-02,0,109,109,2021-02-14
CH,2020-06-03,0,148,148,2021-02-14
CH,2020-06-04,0,230,230,2021-02-14
CH,2020-06-05,0,197,197,2021-02-14
CH,2020-06-06,0,54,54,2021-02-14
CH,2020-06-07,0,266,266,2021-02-14
CH,2020-06-08,0,126,126,2021-02-14
CH,2020-06-09,0,130,130,2021-02-14
CH,2020-06-10,0,297,297,2021-02-14
CH,2020-06-11,0,206,206,2021-02-14
CH,2020-06-12,0,229,229,2021-02-14
CH,2020-06-13,0,134,134,2021-02-14
CH,2020-06-14,0,63,63,2021-02-14
CH,2020-06-15,0,199,199,2021-02-14
CH,2020-06-16,0,167,167,2021-02-14
CH,2020-06-17,0,56,56,2021-02-14
CH,2020-06-18,0,138,138,2021-02-14
CH,2020-06-19,0,77,77,2021-02-14
CH,2020-06-20,0,44,44,2021-02-14
CH,2020-06-21,0,5,5,2021-02-14
CH,2020-06-22,0,10,10,2021-02-14
CH,2020-06-23,0,20,20,2021-02-14
CH,2020-06-24,0,16,16,2021-02-14
CH,2020-06-25,0,5,5,2021-02-14
CH,2020-06-26,0,10,10,2021-02-14
CH,2020-06-27,0,44,44,2021-02-14
CH,2020-06-29,0,11,11,2021-02-14
CH,2020-06-30,0,3,3,2021-02-14
CH,2020-07-01,0,100,100,2021-02-14
